row_id,attack,base_experience,defense,game_index,height,hp,name,special_attack,speed,types,weight
1c0964bf-7c59-4bc6-a051-14f93c44c3ad,70,119,50,333,11,50,vibrava,50,70,"ground,dragon",153
88b1ecec-c52d-4878-b9ac-e2927ba3c805,100,270,100,151,4,100,mew,100,100,psychic,40
373039cf-6ee7-432f-9216-c35f6540133a,75,165,70,178,15,65,xatu,95,95,"psychic,flying",150
096a30e3-a22f-47c2-b251-e20b2afe9492,95,142,80,47,10,60,parasect,60,30,"bug,grass",295
bcf071b5-d90f-4f34-9020-451fa95b6d8d,90,178,40,15,10,65,beedrill,45,75,"bug,poison",295
1d07d3ae-5c26-4c40-b556-16d013f57b0c,65,135,65,61,10,65,poliwhirl,50,90,water,200
f80853c8-9647-482e-be0c-45ac7ab70f09,60,50,40,167,5,40,spinarak,40,30,"bug,poison",85
60274674-592b-4cdb-8497-951cffd42ca7,90,160,45,302,8,61,ninjask,50,160,"bug,flying",120
9e0fb513-39c0-412e-ae34-37cf600174d5,25,44,28,173,3,50,cleffa,45,15,fairy,30
4813d4d5-883a-4b68-be57-cbd2a5021d65,64,142,58,5,11,58,charmeleon,80,80,fire,190
d1ac3969-09dc-43ee-8b95-78240b9bec11,75,147,100,399,12,60,metang,55,50,"steel,psychic",2025
ba712373-90b9-4d78-ad6b-8f7174e67067,115,159,65,378,11,64,banette,83,65,ghost,125
f97b4ebb-25cb-4720-904e-62defdeab155,90,175,45,314,145,170,wailord,90,60,water,3980
37b282a2-ed72-472f-8e0f-c3d357b4ba8c,62,142,63,2,10,60,ivysaur,80,60,"grass,poison",130
f77f361a-c906-421d-b381-9a8de00716d5,90,170,130,381,10,100,relicanth,45,55,"water,rock",234
f0a1d64e-8549-481f-a63a-e99d96990826,70,145,70,206,15,100,dunsparce,65,45,normal,140
ec23fad0-36fe-4e33-8ac5-b04b12fdc31a,100,234,80,334,20,80,flygon,80,100,"ground,dragon",820
ea9ff334-c47f-4a75-bf52-077a8f6d0061,100,161,70,340,19,70,camerupt,105,40,"fire,ground",2200
6214f8d7-8236-4081-a54f-eee101a37fcf,110,194,80,59,19,90,arcanine,100,95,fire,1550
dd2f6574-3db6-4c8c-992f-d403246ee1be,50,60,40,60,6,40,poliwag,40,90,water,124
9c2c68c4-5094-48b7-955d-1d0c4dafecb5,40,50,40,218,7,40,slugma,70,20,fire,350
eb18ea96-cb21-49b4-bcf8-8ab2c545cd9f,10,177,230,213,6,20,shuckle,10,5,"bug,rock",205
4354880d-2c8b-4bef-a4ee-7e4dfb24dfae,70,154,60,53,10,65,persian,65,115,normal,320
884a168d-7e79-49fc-96e7-640effa95fd5,70,70,45,58,7,55,growlithe,70,60,fire,190
e476894a-09f5-4bc0-b8d8-00a81aeb1996,84,147,65,148,40,61,dragonair,70,70,dragon,165
ff898e07-1694-4d7f-a9b0-ac65380eb88a,95,137,115,75,10,55,graveler,45,35,"rock,ground",1050
57f09760-5b6e-4cf8-8fcd-9ef8f38c4fd6,120,159,53,106,15,50,hitmonlee,35,87,fighting,498
0386a2c2-a194-42ef-8582-1436a0f06bd3,45,165,65,352,9,80,grumpig,90,80,psychic,715
176a562f-efa7-4a16-9c93-24e6d195c0c4,80,221,85,45,12,75,vileplume,110,50,"grass,poison",186
b3dd5490-c295-4fb0-bb0f-1c9524c3c0ae,83,172,57,125,11,65,electabuzz,95,105,electric,300
4f8411c2-e31a-473e-b302-1613eebf2651,100,172,95,128,14,75,tauros,40,110,normal,884
54a6d638-e669-417c-b98a-6b7068418d2e,90,218,55,26,8,60,raichu,90,110,electric,300
460c7c01-ccc3-4e4a-b80a-c20943a08077,80,62,65,326,6,43,corphish,50,35,water,115
61db9f6a-80b1-44e3-b820-f6a14154bd06,120,164,85,327,11,63,crawdaunt,90,55,"water,dark",328
afedd187-d26f-4b1d-a6fe-01914a6ed8b7,20,62,15,63,9,25,abra,105,90,psychic,195
b47819bf-b554-42aa-ae1d-6750d1cfa117,60,159,62,312,8,70,masquerain,100,80,"bug,flying",36
b2317291-afa0-4643-ab72-92d32fbeabb8,95,159,95,237,14,50,hitmontop,35,70,fighting,480
f6e56e24-77e8-4635-8f19-ad908a6c3631,110,165,70,85,18,60,dodrio,60,110,"normal,flying",852
01fbf94c-27cc-4f45-a3dc-48453701be35,70,80,35,313,20,130,wailmer,70,60,water,1300
980bdef6-2c0f-462f-ad4d-e3d279f2e765,23,52,48,360,6,95,wynaut,23,23,psychic,140
d8c2f144-8e40-45e8-84a7-a401c472d48a,40,59,60,306,4,60,shroomish,40,35,grass,45
8e690568-099f-411d-93e3-a5914620b88b,85,151,85,195,14,95,quagsire,65,35,"water,ground",750
9675fa1b-9a87-4a13-82a9-e3642461e6b0,65,184,60,135,8,65,jolteon,110,130,electric,245
37143cfe-45e6-448a-ae60-1490d4d7443f,60,61,40,339,7,60,numel,65,35,"fire,ground",240
7c7fb57d-7cf2-4efc-a87f-7d1079d06e42,83,172,57,125,11,65,electabuzz,95,105,electric,300
02c93142-0dfc-4adb-b773-094d53e80fff,45,119,50,188,6,55,skiploom,45,80,"grass,flying",10
0b8c5d9e-97e1-4cf6-bc3e-323a833cfac5,90,155,65,22,12,65,fearow,61,100,"normal,flying",380
4605f85f-323b-4dc4-b707-1d077c6a0e5c,45,59,40,337,6,40,electrike,65,65,electric,152
9d0e0a85-3283-4a1b-8d63-72a3cddcc422,73,151,75,386,7,65,volbeat,47,85,bug,177
c89f79e0-045a-4953-a40b-18f908920c3a,55,116,45,225,9,45,delibird,65,75,"ice,flying",160
f5866f4b-ea34-467a-8a95-188a63138d43,80,61,50,66,8,70,machop,35,35,fighting,195
864994d1-46cc-48a2-80f0-10074b270b50,105,180,65,142,18,80,aerodactyl,60,130,"rock,flying",590
92dc87c5-8945-415c-9fb0-79c8ccc9dccc,20,38,40,350,2,50,azurill,20,20,"normal,fairy",20
32684865-e256-4eee-a822-b6222ff6d72d,55,116,45,225,9,45,delibird,65,75,"ice,flying",160
ac7eface-79c7-43f4-ad4b-74b2268c3ed7,105,175,75,89,12,105,muk,65,50,poison,300
0c28ff3f-09e4-4e0b-9673-10737f700247,70,217,73,36,13,95,clefable,95,60,fairy,400
9280b720-5a1d-4570-a59b-8b2973784fda,65,184,60,135,8,65,jolteon,110,130,electric,245
38b85842-e9c1-4605-bada-f84c12348a57,55,87,115,114,10,65,tangela,100,60,grass,350
d393c582-0dc9-4395-9c4b-00b5df9ff3af,10,608,10,242,15,255,blissey,75,55,normal,468
76287d05-4e23-4a99-9e69-e2dd092670b9,50,225,45,65,15,55,alakazam,135,120,psychic,480
e3a07d5f-30e8-4c0e-8322-bd55e4d47838,43,60,53,367,4,70,gulpin,43,40,poison,103
91ec2c15-be01-4311-9204-2f595afe72bb,60,140,45,363,3,50,roselia,100,65,"grass,poison",20
8bb16329-4d06-422b-b6a2-9119486e268a,100,161,70,340,19,70,camerupt,105,40,"fire,ground",2200
6c4f7b59-cf32-485c-8e96-1bf6f79e9f14,73,169,70,97,16,85,hypno,73,67,psychic,756
808259c4-3ca4-4bd7-9c8b-f8cf21247db8,65,184,110,197,10,95,umbreon,60,65,dark,270
d1f29fe2-b956-46ac-931f-aac4f62a4246,50,158,50,164,16,100,noctowl,86,70,"normal,flying",408
d9f11eae-18dd-410e-a941-8a336f1c82c8,125,189,79,130,65,95,gyarados,60,81,"water,flying",2350
6207a1e7-042c-4d68-b07d-2e2e29012545,73,169,70,97,16,85,hypno,73,67,psychic,756
ec69895a-6570-4634-9c25-f7601e8c6f72,105,65,90,98,4,30,krabby,25,50,water,65
4b05d24d-64cf-4569-9995-3520955d71a5,60,58,44,23,20,35,ekans,40,55,poison,69
bcef8d77-17c3-4a42-a2a1-a6da0fbfb021,35,140,30,64,13,40,kadabra,120,105,psychic,565
8c23574c-0c03-4eda-bf12-6c98e50fd8d6,60,159,62,312,8,70,masquerain,100,80,"bug,flying",36
d310c101-d695-4d1a-8a78-ecc3f1f9870f,48,58,43,323,4,50,barboach,46,60,"water,ground",19
791f3e98-443a-4bf2-9716-e9efaa7e0213,40,142,85,176,6,55,togetic,80,40,"fairy,flying",32
616d391e-b6d6-4736-bfb5-d7a314b4ee6e,85,151,85,195,14,95,quagsire,65,35,"water,ground",750
a3feb999-f6d6-40a4-8a41-f23e6601b884,30,36,30,191,3,30,sunkern,30,30,grass,18
8c8494a5-e784-40b0-9e67-a580804e6b13,45,113,48,35,6,70,clefairy,60,35,fairy,75
dc7a690c-624b-4f19-a394-ceeac9a510f6,150,306,90,406,70,105,rayquaza,150,95,"dragon,flying",2065
a1486e83-89da-4edb-abef-5585a827be75,55,161,65,348,10,90,lunatone,95,70,"rock,psychic",1680
99787a39-4b0e-42d0-8ee3-b97ed75c975a,50,261,100,402,18,80,regice,100,50,ice,1750
35d18987-066e-48d8-bc93-cd00aa36ec8c,20,88,50,183,4,70,marill,20,40,"water,fairy",85
380c6d4e-8857-4c23-b473-fe3d34cc56f3,95,186,85,103,20,95,exeggutor,125,55,"grass,psychic",1200
b4b5e645-f0fa-477a-b733-992ea240958c,40,59,90,361,8,20,duskull,30,25,ghost,150
edfef4c7-8d51-49b4-b170-671c65764c8d,65,58,90,204,6,50,pineco,35,15,bug,72
22acf940-de4d-4563-8f49-7efe1f6adb29,10,40,55,129,9,20,magikarp,15,80,water,100
f7ae1d0c-1884-4ad4-bd21-6fc82fce61c9,49,64,49,1,7,45,bulbasaur,65,45,"grass,poison",69
c6d619e7-ce83-482a-b9d7-f6fa81c8f152,65,158,60,49,15,70,venomoth,90,90,"bug,poison",125
4d234f1c-0d1d-45cc-92fe-81e97b4f254f,52,64,48,54,8,50,psyduck,65,55,water,196
d29bfdcc-7007-400b-bc4c-84da790f4a38,100,161,70,340,19,70,camerupt,105,40,"fire,ground",2200
3b87aa70-2231-4a30-91f7-936ecf41013b,100,58,45,332,7,45,trapinch,45,10,ground,150
fff677c6-9388-4c75-8a55-573a10b01c91,40,59,60,306,4,60,shroomish,40,35,grass,45
e16bebce-9107-4b40-b56d-99b9c8a5b405,130,166,115,99,13,55,kingler,50,75,water,600
c2e122ef-bdb1-471a-9414-0bb619442075,90,147,70,287,10,70,mightyena,60,70,dark,370
c0dc143e-d4cf-4acc-a61f-375083b34afe,71,126,43,371,10,84,loudred,71,48,normal,405
1a554267-0180-4a91-a8ac-97833b39eae0,80,71,90,140,5,30,kabuto,55,55,"rock,water",115
f76ac183-439c-4d9f-b159-7b68687bbef3,130,306,90,250,38,106,ho-oh,110,90,"fire,flying",1990
8d6a8144-030b-4da4-80b5-f10928920f72,70,166,80,87,17,90,dewgong,70,70,"water,ice",1200
9da2ef85-bdd1-45e4-a685-17244d280453,80,60,50,209,6,60,snubbull,40,30,fairy,78
460ce515-20bc-4bff-a36c-a18e6252f75f,90,61,20,330,8,45,carvanha,65,65,"water,dark",208
b6e57173-7907-481f-ab10-b4074e381968,65,142,45,278,9,50,grovyle,85,95,grass,216
13a8365d-ab4e-4add-9082-7e69e2291275,70,159,130,362,16,40,dusclops,60,25,ghost,306
6694040c-f7e5-4d2b-9bae-2d4f6ad24f9d,55,87,115,114,10,65,tangela,100,60,grass,350
0f0eda8f-c89e-48e1-9ca4-b746737cc388,100,175,70,78,17,65,rapidash,80,105,fire,950
d864f44a-debf-47b0-9662-6ff506a37c16,70,119,50,333,11,50,vibrava,50,70,"ground,dragon",153
cfb81d4f-cb45-4dda-8e88-67f53f8af7d3,65,225,60,94,15,60,gengar,130,110,"ghost,poison",405
39f34bf2-d4e0-459d-a68c-9357e83fb9e3,70,196,45,40,10,140,wigglytuff,85,45,"normal,fairy",120
31e15c2e-e331-4073-96d0-06dcc3d18ec9,95,86,55,215,9,55,sneasel,35,115,"dark,ice",280
5e55870f-5c33-4b95-bafd-87811709fd41,80,61,50,66,8,70,machop,35,35,fighting,195
6915c787-3336-4447-ada2-6ded56356347,104,170,105,374,17,55,huntail,94,52,water,270
933dfc9b-734a-4aab-8826-872b6c7b32f2,63,72,37,239,6,45,elekid,65,95,electric,235
330dae5f-1569-4129-93c2-39682e336092,50,173,70,294,12,60,dustox,50,65,"bug,poison",316
e5178db4-86a4-4ed6-9e5d-3988a7abedce,80,60,50,209,6,60,snubbull,40,30,fairy,78
b63236cc-ac1f-48df-a01d-0d4625eacb13,45,59,40,337,6,40,electrike,65,65,electric,152
e6255201-be5e-4fb0-9142-8876c342c5e6,90,306,130,249,52,106,lugia,90,110,"psychic,flying",2160
735435d7-33ae-4886-a2a6-8d149f4f46ba,83,239,100,9,16,79,blastoise,85,78,water,855
0bbafcf2-75b5-419e-9414-e6cc7a5eb657,30,56,41,288,4,38,zigzagoon,30,60,normal,175
2063f58b-59db-4271-814a-73e3c03b701d,75,147,100,399,12,60,metang,55,50,"steel,psychic",2025
57ff860e-b0d2-4beb-858e-b2933424c903,90,270,80,408,20,80,latios,130,110,"dragon,psychic",600
9e6ddeea-1fc6-41dc-9ce4-a5737f440ff0,35,50,40,187,4,35,hoppip,35,50,"grass,flying",5
79934072-1f7d-4ade-a641-073b755bc3a9,50,261,100,402,18,80,regice,100,50,ice,1750
47165b85-8834-4c11-af2e-569b49b80b95,60,87,60,200,7,60,misdreavus,85,85,ghost,10
1fe1f0e8-3133-4b82-a74a-04cb1dfbe5d8,75,60,60,395,6,45,bagon,40,50,dragon,421
feafe230-e4a6-4ea9-ac91-bd07ebd2404c,30,52,30,163,7,60,hoothoot,36,50,"normal,flying",212
fb7b124f-1651-4541-b16c-5f490f0f165c,100,158,80,221,11,100,piloswine,60,50,"ice,ground",558
f35f3b66-d1bf-43ec-b5d7-678fdfac3ea2,95,71,50,390,7,45,anorith,40,75,"rock,bug",125
93e77ccb-ff7a-4961-baa1-48190b790c4d,130,166,115,99,13,55,kingler,50,75,water,600
70524c3a-da9e-4181-9312-a391ccb90a77,70,80,35,313,20,130,wailmer,70,60,water,1300
24ce1681-be57-4462-9f50-eb3caa2e7a4c,90,140,70,168,11,70,ariados,60,40,"bug,poison",335
2b239fcf-a05b-4dc8-ab76-4ef9c2e88548,5,395,5,113,11,250,chansey,35,50,normal,346
126f4aeb-fd87-4d03-a90f-7f266d3bb4dd,25,72,50,14,6,45,kakuna,25,35,"bug,poison",100
c5cd8ab4-ede5-46fa-b93a-1ecf46de0378,60,163,95,82,10,50,magneton,120,70,"electric,steel",600
b1ad9da8-3077-4a82-831f-bd8a56c355ff,65,225,60,94,15,60,gengar,130,110,"ghost,poison",405
a973e7cb-257a-4b8d-b55c-121b3a02216e,45,178,50,12,11,60,butterfree,90,70,"bug,flying",320
97b915d2-3798-40c9-b464-7c16a2132217,15,40,20,328,6,20,feebas,10,80,water,74
e7a0d249-d0c0-4dde-b16b-35e535b47e88,92,227,87,31,13,90,nidoqueen,75,76,"poison,ground",600
fc1c4a93-6e74-41e9-bfd8-6ae783089095,25,40,25,392,4,28,ralts,45,40,"psychic,fairy",66
a94af2b1-6c79-48b7-a4fa-412c86ab711f,45,53,90,301,5,31,nincada,30,40,"bug,ground",55
663d5c6f-33fb-4fc2-a759-34e3df3e7511,50,173,70,294,12,60,dustox,50,65,"bug,poison",316
e4d6dc96-b96a-4f8b-b976-50028edc0fc3,15,40,20,328,6,20,feebas,10,80,water,74
f87c0dd6-118f-4f17-bd2d-925c55ea2f19,40,58,50,341,8,70,spheal,55,25,"ice,water",395
273e842a-ff80-4197-a420-3ae7c53b682d,63,142,80,8,10,59,wartortle,65,58,water,225
5ba4178a-9b02-40b9-95cf-3cbfcb90e147,75,86,105,207,11,65,gligar,35,85,"ground,flying",648
4dac7e9e-f67a-48ee-9fb1-c8be5dd13e27,25,44,28,173,3,50,cleffa,45,15,fairy,30
588e2c56-925c-4e59-8045-eedeec67623f,62,142,63,2,10,60,ivysaur,80,60,"grass,poison",130
878c7a57-8633-4c22-a331-d87978e396f1,105,221,65,71,17,80,victreebel,100,70,"grass,poison",155
e5d4619c-d10b-4bd1-bdab-bee13cdfd824,80,168,80,347,15,80,glalie,80,80,ice,2565
32986205-7929-4949-8874-02a45d7d3c33,70,80,35,313,20,130,wailmer,70,60,water,1300
4ca8cb9d-bc6d-42c7-aefe-fe98f95993b4,80,71,90,140,5,30,kabuto,55,55,"rock,water",115
a890dbf7-f799-4c66-bc2f-189533052731,95,159,95,237,14,50,hitmontop,35,70,fighting,480
33c3c24a-c36d-4fcf-9dfa-4c9872668ba7,50,172,70,101,12,60,electrode,80,150,electric,666
aafe2bdd-35da-40ee-b0ed-3c7185321ccd,84,240,78,157,17,78,typhlosion,109,100,fire,795
bd226950-18fe-4844-9404-bb9a569c19a4,95,137,115,75,10,55,graveler,45,35,"rock,ground",1050
be6b2c07-fcab-422a-bb15-99fc22c7b850,33,142,58,202,13,190,wobbuffet,33,33,psychic,285
15174c55-3791-45a3-b7d5-a5ce9c166354,95,243,95,230,18,75,kingdra,95,85,"water,dragon",1520
7f0d06b8-be07-455f-9451-b03c0044ca0e,95,147,100,396,11,65,shelgon,60,50,dragon,1105
8f565315-3804-47f7-a446-1da99ead58e7,70,166,80,87,17,90,dewgong,70,70,"water,ice",1200
2cfc5418-2cd5-499d-85f5-e60fe67502c2,90,178,40,15,10,65,beedrill,45,75,"bug,poison",295
837cb1dc-158a-4c27-b1c4-c5b3025b1ef8,134,270,110,248,20,100,tyranitar,95,61,"rock,dark",2020
fa172f96-dbe6-4918-aab2-e7de24cdd528,35,72,55,293,7,50,cascoon,25,15,bug,115
be547af0-3d89-4c2e-b8fb-d5d149431e28,130,163,60,376,12,65,absol,75,75,dark,470
9ade6753-7ff4-4444-b11c-b75bc495453e,81,145,60,20,7,55,raticate,50,97,normal,185
0840d277-ce54-465c-a8e9-bd8452f083ea,50,142,40,353,4,60,plusle,85,95,electric,42
8fe306d8-7bb0-442b-b979-974ce6af0eb5,64,142,58,156,9,58,quilava,80,80,fire,190
e6573b06-75fe-42fc-8c93-5fff4e960cc5,100,175,70,78,17,65,rapidash,80,105,fire,950
87ff9f49-c93d-4236-8fd7-6fc4d95e2623,40,59,70,116,4,30,horsea,70,60,water,80
ddb86269-3e33-4502-9d6e-7460102e40d6,90,163,140,205,12,75,forretress,60,40,"bug,steel",1258
8811eadf-4671-45a0-a41b-eecf4df05a4c,105,239,100,160,23,85,feraligatr,79,78,water,888
72202444-6566-41ce-9cd0-e8800750b16d,65,233,65,394,16,68,gardevoir,125,80,"psychic,fairy",484
fcb6efe4-4477-406d-ab9e-530805ee30c9,92,158,65,119,13,80,seaking,65,68,water,390
a6d769ac-7433-4d75-91de-d1f44f305b38,80,60,100,74,4,40,geodude,30,20,"rock,ground",200
5090dedf-a4be-4e3e-baf7-6fd1a00a5225,60,173,125,139,10,70,omastar,115,55,"rock,water",350
d6cfc49d-2d7e-4b7f-94e6-deb77a0aa53e,45,119,50,188,6,55,skiploom,45,80,"grass,flying",10
d691126b-52b1-4038-824e-e7823dc33a99,125,189,79,130,65,95,gyarados,60,81,"water,flying",2350
